model,condition,metric_name,mean,std,count
gru,real_only,ece,0.09430771759697036,0.0222367650581913,3
gru,real_only,event_recall,0.0,0.0,3
gru,real_only,far,0.03726051111263227,0.045847834749244594,3
gru,real_only,lead_time,,,0
gru,real_only,n_test_events,4.666666666666667,0.5773502691896258,3
gru,real_only,n_test_flagged,0.0,0.0,3
gru,real_only,pr_auc,0.1494178017915771,0.15724568377395926,3
gru,real_only,threshold,0.6059812704888421,0.3413002182556853,3
gru,real_plus_sim,ece,0.0785990220976968,0.020239842447044545,3
gru,real_plus_sim,event_recall,0.06666666666666667,0.11547005383792516,3
gru,real_plus_sim,far,0.028529541615330833,0.01926658767541367,3
gru,real_plus_sim,lead_time,2096.0,,1
gru,real_plus_sim,n_test_events,4.666666666666667,0.5773502691896258,3
gru,real_plus_sim,n_test_flagged,0.3333333333333333,0.5773502691896258,3
gru,real_plus_sim,pr_auc,0.16510778697398318,0.1487577194687576,3
gru,real_plus_sim,threshold,0.8284054601473493,0.2518755890968491,3
tcn,real_only,ece,0.4272561291673565,0.035592105389027365,3
tcn,real_only,event_recall,0.08333333333333333,0.14433756729740646,3
tcn,real_only,far,0.032074370507445035,0.039778516620610424,3
tcn,real_only,lead_time,5355.0,,1
tcn,real_only,n_test_events,4.666666666666667,0.5773502691896258,3
tcn,real_only,n_test_flagged,0.3333333333333333,0.5773502691896258,3
tcn,real_only,pr_auc,0.023519509627646863,0.012635039791465961,3
tcn,real_only,threshold,0.8837155295166438,0.09879153994499912,3
tcn,real_plus_sim,ece,0.29664263999866486,0.277895128230497,3
tcn,real_plus_sim,event_recall,0.0,0.0,3
tcn,real_plus_sim,far,0.04100742458174353,0.04337015465310519,3
tcn,real_plus_sim,lead_time,,,0
tcn,real_plus_sim,n_test_events,4.666666666666667,0.5773502691896258,3
tcn,real_plus_sim,n_test_flagged,0.0,0.0,3
tcn,real_plus_sim,pr_auc,0.11600226959105936,0.07354322955652841,3
tcn,real_plus_sim,threshold,0.991596771582966,0.014554818565909452,3
xgboost,real_only,ece,0.0947454379214935,0.093534700752461,3
xgboost,real_only,event_recall,0.2333333333333333,0.2516611478423583,3
xgboost,real_only,far,0.07884739415184171,0.09705551749283042,3
xgboost,real_only,fit_seconds,110.32849875977263,95.98409770165662,3
xgboost,real_only,lead_time,2606.25,1079.3985014812647,2
xgboost,real_only,n_configs_scored,16.0,0.0,2
xgboost,real_only,n_configs_tried,10.666666666666666,9.237604307034013,3
xgboost,real_only,n_features,95.0,0.0,3
xgboost,real_only,n_test_events,4.666666666666667,0.5773502691896258,3
xgboost,real_only,n_test_flagged,1.0,1.0,3
xgboost,real_only,n_train_windows,18113.0,1376.8903369549805,3
xgboost,real_only,pr_auc,0.1128391867930349,0.09034097560986637,3
xgboost,real_only,threshold,0.12285820748252929,0.12374720663809943,3
xgboost,real_only,tune_seconds,156.10042033751955,41.92642082953359,2
xgboost,real_only,tune_val_pr_auc,0.49734849385458924,0.0076317481196856215,2
xgboost,real_only,tuning_skipped,0.3333333333333333,0.5773502691896258,3
xgboost,real_only,val_brier_after,0.02626108666706292,0.02589135115901741,3
xgboost,real_only,val_brier_before,0.03731557356345647,0.024669239071727366,3
xgboost,real_only,val_ece_after,0.008343001897403403,0.01025421248739733,3
xgboost,real_only,val_ece_before,0.04104831437177597,0.01960606265079945,3
xgboost,real_only,val_positive_events,3.0,2.0,3
xgboost,real_only,val_positive_windows,367.3333333333333,329.0992758018974,3
xgboost,real_only,val_pr_auc,0.2838678637927151,0.4280377955488569,3
xgboost,real_plus_sim,ece,0.0415229073352787,0.029982897092791092,3
xgboost,real_plus_sim,event_recall,0.16666666666666666,0.2886751345948129,3
xgboost,real_plus_sim,far,0.0178025151110807,0.019311735509653493,3
xgboost,real_plus_sim,fit_seconds,5.5594466829206795,0.406740751504415,3
xgboost,real_plus_sim,lead_time,12598.0,,1
xgboost,real_plus_sim,n_features,95.0,0.0,3
xgboost,real_plus_sim,n_test_events,4.666666666666667,0.5773502691896258,3
xgboost,real_plus_sim,n_test_flagged,0.6666666666666666,1.1547005383792517,3
xgboost,real_plus_sim,n_train_windows,61942.0,1376.8903369549805,3
xgboost,real_plus_sim,pr_auc,0.20876110379411758,0.2285790511579521,3
xgboost,real_plus_sim,threshold,0.18319196155457051,0.1595898610648787,3
xgboost,real_plus_sim,val_brier_after,0.035649445920439345,0.030872205023238963,3
xgboost,real_plus_sim,val_brier_before,0.0503136923948114,0.02397971053902389,3
xgboost,real_plus_sim,val_ece_after,0.010643946869589515,0.009358271457816479,3
xgboost,real_plus_sim,val_ece_before,0.05540779061219247,0.017886473834829178,3
xgboost,real_plus_sim,val_positive_events,3.0,2.0,3
xgboost,real_plus_sim,val_pr_auc,0.10877355169683546,0.10554229230571148,3
