split_seed,fold,seed,arm,n_features,val_pr_auc,val_base_rate,val_positive_events,lift_over_base
42,0,42,presence_only,5,0.0007892659826361484,8.880994671403197e-05,1,8.887134964483032
42,0,42,values_only,90,0.0005711022272986865,8.880994671403197e-05,1,6.43061107938321
42,0,42,all_features,95,0.0004967709885742673,8.880994671403197e-05,1,5.59364133134625
42,1,42,presence_only,5,0.6015679026184046,0.06319093762795142,3,9.51984454100443
42,1,42,values_only,90,0.7516772941869652,0.06319093762795142,3,11.895333767835623
42,1,42,all_features,95,0.8865245781553277,0.06319093762795142,3,14.029299317805801
42,2,42,presence_only,5,0.05130060899479264,0.055037957211870256,5,0.93209507753548
42,2,42,values_only,90,0.06136001320002298,0.055037957211870256,5,1.1148671990825492
42,2,42,all_features,95,0.059666280896294305,0.055037957211870256,5,1.0840933043100995
7,0,42,presence_only,5,0.010063869890193429,0.004362953553874192,2,2.3066644569839547
7,0,42,values_only,90,0.07655792089417743,0.004362953553874192,2,17.54726928646672
7,0,42,all_features,95,0.10595493794411953,0.004362953553874192,2,24.285140017141423
7,1,42,presence_only,5,0.00989833210502197,0.006004618937644342,1,1.6484530005671203
7,1,42,values_only,90,0.227670996694538,0.006004618937644342,1,37.91597752643652
7,1,42,all_features,95,0.2520215277286829,0.006004618937644342,1,41.971277502507576
7,2,42,presence_only,5,0.49266398011601453,0.04202595988018517,3,11.722848960989486
7,2,42,values_only,90,0.35370777606288056,0.04202595988018517,3,8.416411595863401
7,2,42,all_features,95,0.48297926890903004,0.04202595988018517,3,11.49240303579003
2024,0,42,presence_only,5,0.2835111685001897,0.05373989218328841,5,5.275618483439267
2024,0,42,values_only,90,0.258526960198103,0.05373989218328841,5,4.810708575974732
2024,0,42,all_features,95,0.289860594920026,0.05373989218328841,5,5.393769565659167
2024,1,42,presence_only,5,0.09248554913294797,0.004198373130411965,1,22.028901734104046
2024,1,42,values_only,90,0.021283131202109763,0.004198373130411965,1,5.0693758132025195
2024,1,42,all_features,95,0.01510183738802466,0.004198373130411965,1,3.5970688928601238
2024,2,42,presence_only,5,0.0010416666666666667,0.00015363343063450608,1,6.7802083333333325
2024,2,42,values_only,90,0.027777777777777776,0.00015363343063450608,1,180.80555555555554
2024,2,42,all_features,95,0.007518796992481203,0.00015363343063450608,1,48.939849624060145
