scale,total,mean,n_features,share
0.25,5.33463756891191e-05,1.7782125229706365e-06,30,-0.21813237008507363
0.5,-6.258181647275574e-05,-2.086060549091858e-06,30,0.25589592123342114
1.0,-0.000235324207416736,-7.844140247224532e-06,30,0.9622364488516525
