stat,total,mean,n_features,share
min,8.583195419894127e-05,5.722130279929418e-06,15,-0.3810411089909529
last_diff,5.3145802842175465e-05,3.5430535228116975e-06,15,-0.23593469171469553
presence_frac,1.9303233147845632e-05,3.860646629569126e-06,5,-0.08569448796095043
mean,1.5553070763749595e-05,1.036871384249973e-06,15,-0.06904607249530634
slope,-4.562561950227721e-06,-3.0417079668184805e-07,15,0.020254970093365764
max,-9.914466259586263e-05,-6.609644173057509e-06,15,0.440141349904478
std,-0.0002953832514591486,-1.969221676394324e-05,15,1.3113200411640613
