rank,feature,importance,importance_std,channel,stat,scale
1,T-JUS-CKP|std|scale1.0,0.01004520988472224,0.00043194469478657953,T-JUS-CKP,std,1.0
2,P-MON-CKP|mean|scale1.0,0.00796930845752348,0.00029521128764299685,P-MON-CKP,mean,1.0
3,P-JUS-CKGL|min|scale0.5,0.005026147963133632,0.00043519182147012063,P-JUS-CKGL,min,0.5
4,P-MON-CKP|std|scale1.0,0.004623440335502655,0.0001082206921262862,P-MON-CKP,std,1.0
5,P-JUS-CKGL|max|scale0.5,0.0038581522510272833,0.00012070059097387539,P-JUS-CKGL,max,0.5
6,T-JUS-CKP|min|scale0.5,0.0036811630862323167,0.00019859721194605818,T-JUS-CKP,min,0.5
7,P-JUS-CKGL|std|scale0.5,0.0035705368690162357,0.0001169959342718364,P-JUS-CKGL,std,0.5
8,P-JUS-CKGL|max|scale0.25,0.002580434451672958,6.262338318513019e-05,P-JUS-CKGL,max,0.25
9,T-TPT|mean|scale1.0,0.0023446248017244516,0.00017593788585982577,T-TPT,mean,1.0
10,P-JUS-CKGL|slope|scale1.0,0.001940962980876415,8.43192435086703e-05,P-JUS-CKGL,slope,1.0
11,T-TPT|max|scale1.0,0.0019356146477182146,0.0001777852769648427,T-TPT,max,1.0
12,P-JUS-CKGL|min|scale1.0,0.0019148391367483446,0.0001895386662892245,P-JUS-CKGL,min,1.0
13,T-JUS-CKP|std|scale0.5,0.0018793768003310535,8.129953156430522e-05,T-JUS-CKP,std,0.5
14,P-JUS-CKGL|max|scale1.0,0.0018402053142086345,0.00021012704856615013,P-JUS-CKGL,max,1.0
15,P-JUS-CKGL|mean|scale0.5,0.0018008875887287252,0.00010922370253060636,P-JUS-CKGL,mean,0.5
16,T-TPT|min|scale1.0,0.001690674464943684,0.0007849404945907001,T-TPT,min,1.0
17,P-MON-CKP|mean|scale0.5,0.0015462002432744427,0.00012336900610721723,P-MON-CKP,mean,0.5
18,P-JUS-CKGL|mean|scale0.25,0.0010200392486773902,9.632115458376796e-05,P-JUS-CKGL,mean,0.25
19,T-JUS-CKP|min|scale1.0,0.0009315536718774858,0.00010583990150261784,T-JUS-CKP,min,1.0
20,P-JUS-CKGL|std|scale0.25,0.0009144689296608277,0.0003714293899332147,P-JUS-CKGL,std,0.25
21,P-ANULAR|min|scale1.0,0.0008919712794269619,9.793994920945989e-05,P-ANULAR,min,1.0
22,P-MON-CKP|std|scale0.5,0.0008699454170794707,0.0001929468575970504,P-MON-CKP,std,0.5
23,P-JUS-CKGL|last_diff|scale0.25,0.0008552105102105162,3.1834266155443354e-05,P-JUS-CKGL,last_diff,0.25
24,T-JUS-CKP|max|scale1.0,0.000777983640601898,6.425533798804649e-05,T-JUS-CKP,max,1.0
25,P-MON-CKP|min|scale0.25,0.0007120906813820827,0.00018003865245833187,P-MON-CKP,min,0.25
26,P-JUS-CKGL|slope|scale0.25,0.0006213738394728691,2.6800483338421306e-05,P-JUS-CKGL,slope,0.25
27,T-JUS-CKP|mean|scale1.0,0.0006076486262345887,5.194064453153738e-05,T-JUS-CKP,mean,1.0
28,P-MON-CKP|min|scale0.5,0.000510758010661505,9.445299908086373e-05,P-MON-CKP,min,0.5
29,T-JUS-CKP|slope|scale0.5,0.00037328283478168243,1.0030569855311841e-05,T-JUS-CKP,slope,0.5
30,T-JUS-CKP|last_diff|scale0.5,0.00036671878138811733,1.1344601441875266e-05,T-JUS-CKP,last_diff,0.5
31,T-JUS-CKP|min|scale0.25,0.0003530998045469663,8.369719838188608e-05,T-JUS-CKP,min,0.25
32,T-JUS-CKP|max|scale0.25,0.0002625148651707987,1.4424640143903612e-05,T-JUS-CKP,max,0.25
33,P-JUS-CKGL|min|scale0.25,0.00013882145198050312,2.1010896206324234e-05,P-JUS-CKGL,min,0.25
34,T-TPT|min|scale0.25,0.0001255914653830015,4.836110312850425e-06,T-TPT,min,0.25
35,P-JUS-CKGL|last_diff|scale0.5,0.00012542493872685911,1.4128874382492264e-05,P-JUS-CKGL,last_diff,0.5
36,P-ANULAR|presence_frac,8.020709438751882e-05,5.750697348251687e-06,P-ANULAR,presence_frac,
37,T-JUS-CKP|last_diff|scale1.0,7.236454083242583e-05,5.597005860922176e-05,T-JUS-CKP,last_diff,1.0
38,T-JUS-CKP|mean|scale0.5,7.094268497934709e-05,3.8096143684512982e-06,T-JUS-CKP,mean,0.5
