rank,feature,importance,importance_std,channel,stat,scale
52,T-TPT|slope|scale0.5,0.0,0.0,T-TPT,slope,0.5
53,P-ANULAR|mean|scale0.5,0.0,0.0,P-ANULAR,mean,0.5
54,P-MON-CKP|slope|scale0.25,-1.242843397009823e-08,2.7790823211007233e-08,P-MON-CKP,slope,0.25
55,T-TPT|presence_frac,-1.242843397009823e-08,2.7790823211007233e-08,T-TPT,presence_frac,
56,P-MON-CKP|last_diff|scale1.0,-3.728530191029469e-08,3.4036668199431435e-08,P-MON-CKP,last_diff,1.0
57,P-MON-CKP|slope|scale0.5,-3.73472474340269e-08,1.4301837627275912e-07,P-MON-CKP,slope,0.5
58,T-JUS-CKP|max|scale0.25,-3.796122038456735e-08,4.6035478336549006e-07,T-JUS-CKP,max,0.25
59,T-TPT|min|scale0.25,-4.971993460056506e-08,5.200298346725062e-08,T-TPT,min,0.25
60,P-MON-CKP|mean|scale0.25,-4.971993460056506e-08,5.200298346725062e-08,P-MON-CKP,mean,0.25
61,T-TPT|last_diff|scale0.5,-6.21669693698086e-08,8.792066114500453e-08,T-TPT,last_diff,0.5
62,T-TPT|mean|scale0.25,-1.1193651229551458e-07,1.34783959195689e-07,T-TPT,mean,0.25
63,P-JUS-CKGL|last_diff|scale1.0,-2.4186454048408613e-07,7.001346610142518e-06,P-JUS-CKGL,last_diff,1.0
64,P-ANULAR|max|scale0.25,-4.108087860335498e-07,1.7397385760458097e-07,P-ANULAR,max,0.25
65,T-TPT|slope|scale1.0,-4.4838668894808854e-07,2.9057135013024806e-07,T-TPT,slope,1.0
66,T-TPT|max|scale1.0,-4.873136820833165e-07,7.464998209490915e-07,T-TPT,max,1.0
67,P-JUS-CKGL|mean|scale0.25,-5.092592588147766e-07,3.8900879488035e-06,P-JUS-CKGL,mean,0.25
68,T-TPT|mean|scale0.5,-6.922715295650319e-07,1.4845285210416788e-06,T-TPT,mean,0.5
69,T-TPT|min|scale1.0,-1.0309486812084472e-06,1.5776038224498772e-06,T-TPT,min,1.0
70,P-ANULAR|max|scale0.5,-1.1834024577814782e-06,1.7646146377763225e-06,P-ANULAR,max,0.5
71,P-ANULAR|last_diff|scale1.0,-1.488415795459011e-06,9.10014114731891e-06,P-ANULAR,last_diff,1.0
72,P-JUS-CKGL|std|scale0.25,-2.416384281781229e-06,3.421168515953423e-05,P-JUS-CKGL,std,0.25
73,P-ANULAR|presence_frac,-2.5274930659228327e-06,2.33616979213172e-06,P-ANULAR,presence_frac,
74,P-JUS-CKGL|min|scale0.25,-2.7729843746740437e-06,1.2032304619216622e-05,P-JUS-CKGL,min,0.25
75,T-JUS-CKP|std|scale0.25,-3.305723829393403e-06,2.5256664367283658e-06,T-JUS-CKP,std,0.25
76,P-JUS-CKGL|presence_frac,-3.8138468308058736e-06,1.744123275139821e-05,P-JUS-CKGL,presence_frac,
77,T-JUS-CKP|min|scale1.0,-4.7799750751767236e-06,4.2370318579084766e-05,T-JUS-CKP,min,1.0
78,P-ANULAR|slope|scale1.0,-5.288730744592207e-06,4.8709834147231025e-06,P-ANULAR,slope,1.0
79,P-ANULAR|min|scale0.5,-6.006740568401776e-06,4.5967112169219345e-07,P-ANULAR,min,0.5
80,P-MON-CKP|mean|scale1.0,-9.623022799876764e-06,1.7182349890210705e-06,P-MON-CKP,mean,1.0
81,T-TPT|std|scale1.0,-1.1783813554549306e-05,1.4363597996280301e-05,T-TPT,std,1.0
82,P-JUS-CKGL|std|scale0.5,-1.2544054981078728e-05,1.136860708572932e-05,P-JUS-CKGL,std,0.5
83,P-MON-CKP|max|scale0.25,-1.4181491068828366e-05,3.603949473433711e-06,P-MON-CKP,max,0.25
84,P-JUS-CKGL|slope|scale0.5,-1.4489309861981056e-05,2.1651470927930735e-05,P-JUS-CKGL,slope,0.5
85,P-JUS-CKGL|last_diff|scale0.5,-1.4982753854982524e-05,3.30502989727744e-05,P-JUS-CKGL,last_diff,0.5
86,P-ANULAR|mean|scale1.0,-1.7791243454296446e-05,2.3540197983923765e-05,P-ANULAR,mean,1.0
87,T-TPT|max|scale0.25,-2.5653994277731603e-05,2.2550835052945028e-05,T-TPT,max,0.25
88,P-MON-CKP|max|scale1.0,-3.376771824844323e-05,3.708952720482267e-06,P-MON-CKP,max,1.0
89,P-MON-CKP|max|scale0.5,-3.597335381128062e-05,3.0967564758158366e-07,P-MON-CKP,max,0.5
90,T-JUS-CKP|std|scale0.5,-4.88795440540394e-05,3.797304844095871e-05,T-JUS-CKP,std,0.5
91,P-ANULAR|max|scale1.0,-5.5122754190826075e-05,6.813320477881604e-05,P-ANULAR,max,1.0
92,P-MON-CKP|std|scale0.25,-5.609504561976298e-05,5.2925093908977775e-05,P-MON-CKP,std,0.25
93,P-MON-CKP|std|scale0.5,-6.103101908758789e-05,1.1727574435495564e-05,P-MON-CKP,std,0.5
94,P-JUS-CKGL|std|scale1.0,-7.978677129524101e-05,7.486778040107131e-05,P-JUS-CKGL,std,1.0
95,T-JUS-CKP|std|scale1.0,-0.0001276091894761143,0.00015076391107650828,T-JUS-CKP,std,1.0
