rank,feature,importance,importance_std,channel,stat,scale
1,T-TPT|std|scale0.25,5.656272190641592e-05,3.330863974916709e-05,T-TPT,std,0.25
2,P-JUS-CKGL|last_diff|scale0.25,4.5560857352573326e-05,3.822415410776057e-06,P-JUS-CKGL,last_diff,0.25
3,P-JUS-CKGL|min|scale1.0,4.2472340334929295e-05,1.9992860714712276e-05,P-JUS-CKGL,min,1.0
4,P-JUS-CKGL|max|scale1.0,3.058098678998762e-05,3.488216326271973e-06,P-JUS-CKGL,max,1.0
5,P-JUS-CKGL|min|scale0.5,2.7769649085420115e-05,1.653269860480735e-05,P-JUS-CKGL,min,0.5
6,T-JUS-CKP|presence_frac,2.5508052130274205e-05,3.2099505010083514e-05,T-JUS-CKP,presence_frac,
7,T-TPT|std|scale0.5,2.3792249488671078e-05,1.5576046694225765e-05,T-TPT,std,0.5
8,T-JUS-CKP|min|scale0.5,1.9525285258783293e-05,1.805305564035518e-05,T-JUS-CKP,min,0.5
9,P-JUS-CKGL|max|scale0.5,1.6072181588404115e-05,5.817539587776658e-06,P-JUS-CKGL,max,0.5
10,T-JUS-CKP|last_diff|scale0.25,1.1202153224418543e-05,4.558609627173874e-06,T-JUS-CKP,last_diff,0.25
11,P-ANULAR|std|scale1.0,1.1168858736762928e-05,1.2366454635610942e-05,P-ANULAR,std,1.0
12,P-JUS-CKGL|mean|scale1.0,1.0797694538191091e-05,5.790790095986846e-06,P-JUS-CKGL,mean,1.0
13,T-JUS-CKP|mean|scale0.5,1.0389444770511494e-05,7.1596358257877905e-06,T-JUS-CKP,mean,0.5
14,T-TPT|max|scale0.5,9.249922433040381e-06,5.289202830513326e-06,T-TPT,max,0.5
15,P-ANULAR|std|scale0.25,8.953272618063512e-06,2.350041018220532e-06,P-ANULAR,std,0.25
16,T-JUS-CKP|mean|scale0.25,8.611452923607823e-06,4.682677351510967e-06,T-JUS-CKP,mean,0.25
17,P-JUS-CKGL|mean|scale0.5,7.151250902653482e-06,4.376780472274168e-06,P-JUS-CKGL,mean,0.5
18,T-TPT|last_diff|scale0.25,6.333040705771892e-06,1.3877863966892833e-05,T-TPT,last_diff,0.25
19,P-ANULAR|last_diff|scale0.5,5.2962550437690094e-06,1.0534558826750075e-05,P-ANULAR,last_diff,0.5
20,T-JUS-CKP|max|scale1.0,5.112172960984964e-06,3.3059448151622026e-06,T-JUS-CKP,max,1.0
21,P-MON-CKP|min|scale0.25,5.064912610748312e-06,1.8293956753098054e-06,P-MON-CKP,min,0.25
22,P-ANULAR|std|scale0.5,4.65773052835749e-06,1.2411345901040929e-07,P-ANULAR,std,0.5
23,P-JUS-CKGL|slope|scale0.25,4.016210718936063e-06,1.3311575927143636e-06,P-JUS-CKGL,slope,0.25
24,T-JUS-CKP|mean|scale1.0,3.870037211544427e-06,4.954756314318251e-06,T-JUS-CKP,mean,1.0
25,T-JUS-CKP|max|scale0.5,3.7274683989350196e-06,3.026242996426735e-06,T-JUS-CKP,max,0.5
26,T-TPT|slope|scale0.25,3.6345361273663184e-06,8.791280483187706e-06,T-TPT,slope,0.25
27,P-JUS-CKGL|slope|scale1.0,2.9963934442681365e-06,2.671155719736485e-06,P-JUS-CKGL,slope,1.0
28,P-MON-CKP|std|scale1.0,2.9334614421287177e-06,7.94491340767044e-06,P-MON-CKP,std,1.0
29,P-JUS-CKGL|max|scale0.25,2.9314029761780724e-06,1.0066504423479944e-06,P-JUS-CKGL,max,0.25
30,T-JUS-CKP|slope|scale0.25,2.350642639991881e-06,2.5637168241863065e-07,T-JUS-CKP,slope,0.25
31,P-MON-CKP|mean|scale0.5,2.2735288218580153e-06,1.135720859486607e-06,P-MON-CKP,mean,0.5
32,P-MON-CKP|min|scale0.5,2.020811023337762e-06,3.601357996927401e-07,P-MON-CKP,min,0.5
33,P-MON-CKP|slope|scale1.0,1.3770351963860047e-06,1.4538788450521275e-06,P-MON-CKP,slope,1.0
34,T-JUS-CKP|min|scale0.25,1.3055854270566928e-06,1.1920914828022865e-06,T-JUS-CKP,min,0.25
35,P-MON-CKP|min|scale1.0,1.1501772922997764e-06,1.1999489860001928e-07,P-MON-CKP,min,1.0
36,P-ANULAR|mean|scale0.25,1.1377557341318086e-06,2.2031055175865576e-07,P-ANULAR,mean,0.25
37,P-ANULAR|min|scale1.0,9.648925869373153e-07,4.05304677953301e-07,P-ANULAR,min,1.0
38,T-JUS-CKP|slope|scale0.5,7.432539716793318e-07,1.1554853226809272e-07,T-JUS-CKP,slope,0.5
39,P-ANULAR|last_diff|scale0.25,7.185328796381336e-07,1.352917242446088e-07,P-ANULAR,last_diff,0.25
40,T-JUS-CKP|last_diff|scale0.5,5.938684933036323e-07,5.91307778184649e-07,T-JUS-CKP,last_diff,0.5
41,P-ANULAR|slope|scale0.25,3.9693064336957355e-07,1.207189385845444e-07,P-ANULAR,slope,0.25
42,T-JUS-CKP|last_diff|scale1.0,2.0409076370857433e-07,1.466285843056351e-06,T-JUS-CKP,last_diff,1.0
43,T-JUS-CKP|slope|scale1.0,1.9863828470044691e-07,5.189941951459981e-08,T-JUS-CKP,slope,1.0
44,P-ANULAR|min|scale0.25,1.7382473372249633e-07,5.1903112897621455e-08,P-ANULAR,min,0.25
45,P-MON-CKP|presence_frac,1.4894934827023187e-07,1.4286511909460904e-07,P-MON-CKP,presence_frac,
46,T-TPT|mean|scale1.0,9.935935070055002e-08,3.4002754470075245e-08,T-TPT,mean,1.0
47,T-TPT|last_diff|scale1.0,3.70871789434667e-08,2.389255157364957e-07,T-TPT,last_diff,1.0
48,T-TPT|min|scale0.5,2.484447976776414e-08,3.401970499571283e-08,T-TPT,min,0.5
49,P-MON-CKP|last_diff|scale0.5,1.2403662254614236e-08,8.098666880016259e-08,P-MON-CKP,last_diff,0.5
50,P-ANULAR|slope|scale0.5,0.0,0.0,P-ANULAR,slope,0.5
51,P-MON-CKP|last_diff|scale0.25,0.0,0.0,P-MON-CKP,last_diff,0.25
