rank,channel,total,mean,max,n_features,share
1,P-ANULAR,0.4520863012226815,0.023794015853825342,0.23540074134957809,19,0.5003851678771664
2,P-JUS-CKGL,0.3376675114398704,0.01777197428630897,0.14102029616205186,19,0.37374238932154463
3,T-TPT,0.10567366713740012,0.005561771954600006,0.04264815008585365,19,0.11696336634782963
4,P-MON-CKP,0.008049142300203569,0.0004236390684317668,0.029044170862218575,19,0.00890907645345944
5,T-JUS-CKP,-0.08551663142196582,-0.004500875337998201,0.009098853227847847,19,0.0
