rank,feature,importance,channel,stat,scale
1,P-JUS-CKGL|presence_frac,0.21640422940254211,P-JUS-CKGL,presence_frac,
2,P-ANULAR|presence_frac,0.2003198266029358,P-ANULAR,presence_frac,
3,T-TPT|min|scale0.25,0.12359766662120819,T-TPT,min,0.25
4,T-JUS-CKP|mean|scale1.0,0.12284566462039948,T-JUS-CKP,mean,1.0
5,T-TPT|mean|scale0.25,0.10013940185308456,T-TPT,mean,0.25
6,T-TPT|min|scale1.0,0.03886979818344116,T-TPT,min,1.0
7,P-MON-CKP|min|scale1.0,0.02506365440785885,P-MON-CKP,min,1.0
8,T-JUS-CKP|min|scale0.5,0.022294050082564354,T-JUS-CKP,min,0.5
9,P-JUS-CKGL|slope|scale1.0,0.019074754789471626,P-JUS-CKGL,slope,1.0
10,T-TPT|max|scale1.0,0.013800610788166523,T-TPT,max,1.0
11,P-JUS-CKGL|last_diff|scale1.0,0.011871863156557083,P-JUS-CKGL,last_diff,1.0
12,P-ANULAR|min|scale1.0,0.009770826436579227,P-ANULAR,min,1.0
13,T-TPT|presence_frac,0.008918177336454391,T-TPT,presence_frac,
14,P-MON-CKP|min|scale0.5,0.00766756571829319,P-MON-CKP,min,0.5
15,P-JUS-CKGL|min|scale1.0,0.007639713119715452,P-JUS-CKGL,min,1.0
16,P-ANULAR|std|scale0.25,0.005730997305363417,P-ANULAR,std,0.25
17,P-JUS-CKGL|mean|scale0.5,0.005197351332753897,P-JUS-CKGL,mean,0.5
18,P-JUS-CKGL|last_diff|scale0.5,0.004068885464221239,P-JUS-CKGL,last_diff,0.5
19,P-JUS-CKGL|max|scale1.0,0.003956563305109739,P-JUS-CKGL,max,1.0
20,P-MON-CKP|mean|scale1.0,0.003456068690866232,P-MON-CKP,mean,1.0
21,T-TPT|max|scale0.25,0.002805698197335005,T-TPT,max,0.25
22,P-JUS-CKGL|mean|scale0.25,0.0024776209611445665,P-JUS-CKGL,mean,0.25
23,P-JUS-CKGL|max|scale0.25,0.0024715904146432877,P-JUS-CKGL,max,0.25
24,T-JUS-CKP|std|scale1.0,0.001804222585633397,T-JUS-CKP,std,1.0
25,P-ANULAR|max|scale1.0,0.0017901574028655887,P-ANULAR,max,1.0
26,T-JUS-CKP|mean|scale0.25,0.0017641647718846798,T-JUS-CKP,mean,0.25
27,T-JUS-CKP|min|scale1.0,0.0017583288718014956,T-JUS-CKP,min,1.0
28,P-ANULAR|slope|scale0.5,0.0016834938433021307,P-ANULAR,slope,0.5
29,T-TPT|min|scale0.5,0.0015152997802942991,T-TPT,min,0.5
30,T-TPT|slope|scale1.0,0.001429389463737607,T-TPT,slope,1.0
31,P-JUS-CKGL|mean|scale1.0,0.001398166990838945,P-JUS-CKGL,mean,1.0
