rank,channel,total,mean,max,n_features,share
1,P-JUS-CKGL,0.017592059402393733,0.0009258978632838806,0.005026147963133632,19,0.5042077163185276
2,T-JUS-CKP,0.017298440748699045,0.0009104442499315288,0.01004520988472224,19,0.4957922836814723
3,T-TPT,-0.002192911854587021,-0.0001154164133993169,0.0023446248017244516,19,0.0
4,P-MON-CKP,-0.006600581459243153,-0.0003473990241706923,0.00796930845752348,19,0.0
5,P-ANULAR,-0.10089209987981614,-0.005310110519990323,0.0008919712794269619,19,0.0
