stat,total,mean,n_features,share
max,0.1540358188553003,0.010269054590353353,15,2.8044257223866844
min,0.07436965911471531,0.004957977274314354,15,1.3539979631773833
presence_frac,0.06744761214393422,0.013489522428786843,5,1.2279729469137106
slope,0.025477285455925928,0.0016984856970617284,15,0.4638476634860198
last_diff,-0.04322116510352857,-0.0028814110069019044,15,-0.7868984504293851
std,-0.07441241575077703,-0.0049608277167184685,15,-1.3547764042624848
mean,-0.14877081909578818,-0.009918054606385878,15,-2.7085694412719272
