rank,channel,total,mean,max,n_features,share
1,T-JUS-CKP,6.129689084967969e-07,3.226152149983141e-08,5.455169907643835e-05,19,1.0
2,P-ANULAR,-1.4276095341588659e-05,-7.51373439030982e-07,2.2744745686349112e-05,19,0.0
3,T-TPT,-2.716318031255081e-05,-1.4296410690816216e-06,4.485320129433252e-06,19,0.0
4,P-JUS-CKGL,-0.00017013142040771294,-8.954285284616471e-06,6.164353804064449e-05,19,0.0
5,P-MON-CKP,-0.0008279464580874954,-4.357612937302608e-05,2.1381279109365896e-05,19,0.0
