rank,feature,importance,channel,stat,scale
1,T-JUS-CKP|min|scale0.25,0.266484797000885,T-JUS-CKP,min,0.25
2,P-JUS-CKGL|max|scale1.0,0.14162200689315796,P-JUS-CKGL,max,1.0
3,P-JUS-CKGL|slope|scale0.5,0.13484179973602295,P-JUS-CKGL,slope,0.5
4,T-JUS-CKP|mean|scale0.25,0.10855046659708023,T-JUS-CKP,mean,0.25
5,T-JUS-CKP|min|scale1.0,0.07401612401008606,T-JUS-CKP,min,1.0
6,T-JUS-CKP|min|scale0.5,0.03980054333806038,T-JUS-CKP,min,0.5
7,P-ANULAR|mean|scale1.0,0.03513278067111969,P-ANULAR,mean,1.0
8,P-ANULAR|last_diff|scale1.0,0.024963881820440292,P-ANULAR,last_diff,1.0
9,P-JUS-CKGL|slope|scale0.25,0.02310115285217762,P-JUS-CKGL,slope,0.25
10,T-TPT|max|scale1.0,0.013104616664350033,T-TPT,max,1.0
11,T-JUS-CKP|last_diff|scale1.0,0.011805065907537937,T-JUS-CKP,last_diff,1.0
12,P-ANULAR|min|scale1.0,0.010618282482028008,P-ANULAR,min,1.0
13,T-JUS-CKP|max|scale0.25,0.006018474698066711,T-JUS-CKP,max,0.25
14,T-TPT|max|scale0.5,0.005335806868970394,T-TPT,max,0.5
15,P-JUS-CKGL|last_diff|scale0.25,0.005240699276328087,P-JUS-CKGL,last_diff,0.25
16,P-ANULAR|slope|scale1.0,0.0044603594578802586,P-ANULAR,slope,1.0
17,P-MON-CKP|min|scale1.0,0.004460002761334181,P-MON-CKP,min,1.0
18,T-TPT|presence_frac,0.004294115584343672,T-TPT,presence_frac,
19,T-TPT|slope|scale0.25,0.003762142965570092,T-TPT,slope,0.25
20,P-MON-CKP|mean|scale0.5,0.0036629606038331985,P-MON-CKP,mean,0.5
21,T-TPT|std|scale1.0,0.0032508336007595062,T-TPT,std,1.0
22,P-ANULAR|std|scale0.25,0.002851717872545123,P-ANULAR,std,0.25
23,P-ANULAR|std|scale0.5,0.0027165510691702366,P-ANULAR,std,0.5
24,P-ANULAR|max|scale0.25,0.002499672118574381,P-ANULAR,max,0.25
25,T-TPT|mean|scale0.25,0.002306454349309206,T-TPT,mean,0.25
26,P-JUS-CKGL|slope|scale1.0,0.002301330678164959,P-JUS-CKGL,slope,1.0
27,P-JUS-CKGL|mean|scale1.0,0.0021485891193151474,P-JUS-CKGL,mean,1.0
28,P-JUS-CKGL|mean|scale0.25,0.0021111317910254,P-JUS-CKGL,mean,0.25
29,T-TPT|last_diff|scale0.25,0.00208016624674201,T-TPT,last_diff,0.25
30,P-JUS-CKGL|std|scale0.25,0.0019914282020181417,P-JUS-CKGL,std,0.25
31,T-JUS-CKP|last_diff|scale0.5,0.0019658352248370647,T-JUS-CKP,last_diff,0.5
32,T-TPT|std|scale0.25,0.0018624132499098778,T-TPT,std,0.25
33,T-JUS-CKP|max|scale1.0,0.0016583356773480773,T-JUS-CKP,max,1.0
34,T-TPT|max|scale0.25,0.0016346386400982738,T-TPT,max,0.25
35,T-TPT|slope|scale1.0,0.0016331610968336463,T-TPT,slope,1.0
36,T-JUS-CKP|std|scale0.25,0.001545113162137568,T-JUS-CKP,std,0.25
37,P-ANULAR|max|scale1.0,0.0015203080838546157,P-ANULAR,max,1.0
38,T-JUS-CKP|mean|scale1.0,0.0015112316468730569,T-JUS-CKP,mean,1.0
39,P-JUS-CKGL|min|scale0.25,0.0014397248160094023,P-JUS-CKGL,min,0.25
40,P-JUS-CKGL|mean|scale0.5,0.001414901576936245,P-JUS-CKGL,mean,0.5
41,P-ANULAR|std|scale1.0,0.0012943125329911709,P-ANULAR,std,1.0
42,P-JUS-CKGL|last_diff|scale0.5,0.0012848416808992624,P-JUS-CKGL,last_diff,0.5
43,P-JUS-CKGL|max|scale0.25,0.0012310977326706052,P-JUS-CKGL,max,0.25
44,P-JUS-CKGL|min|scale1.0,0.0012205163948237896,P-JUS-CKGL,min,1.0
45,P-MON-CKP|std|scale1.0,0.0011719667818397284,P-MON-CKP,std,1.0
46,T-JUS-CKP|mean|scale0.5,0.0011325199156999588,T-JUS-CKP,mean,0.5
47,P-MON-CKP|mean|scale0.25,0.0010910603450611234,P-MON-CKP,mean,0.25
48,P-ANULAR|min|scale0.25,0.0010595932835713029,P-ANULAR,min,0.25
49,P-JUS-CKGL|max|scale0.5,0.0010377162834629416,P-JUS-CKGL,max,0.5
50,T-JUS-CKP|last_diff|scale0.25,0.001035385299474001,T-JUS-CKP,last_diff,0.25
51,P-JUS-CKGL|presence_frac,0.0010306586045771837,P-JUS-CKGL,presence_frac,
52,T-JUS-CKP|std|scale1.0,0.0009278697543777525,T-JUS-CKP,std,1.0
53,P-MON-CKP|max|scale0.25,0.0008953838259913027,P-MON-CKP,max,0.25
54,T-TPT|slope|scale0.5,0.0008872798644006252,T-TPT,slope,0.5
55,P-ANULAR|mean|scale0.25,0.0008727707900106907,P-ANULAR,mean,0.25
56,P-ANULAR|last_diff|scale0.25,0.0008588898926973343,P-ANULAR,last_diff,0.25
57,P-JUS-CKGL|std|scale1.0,0.0008577490225434303,P-JUS-CKGL,std,1.0
58,T-TPT|min|scale1.0,0.0008462711703032255,T-TPT,min,1.0
59,P-MON-CKP|min|scale0.25,0.0008454310591332614,P-MON-CKP,min,0.25
60,P-MON-CKP|std|scale0.5,0.0008240416646003723,P-MON-CKP,std,0.5
61,P-MON-CKP|max|scale1.0,0.0008185704355128109,P-MON-CKP,max,1.0
62,P-ANULAR|min|scale0.5,0.0007905904203653336,P-ANULAR,min,0.5
63,T-TPT|std|scale0.5,0.0007862932397983968,T-TPT,std,0.5
64,T-JUS-CKP|slope|scale0.5,0.0007767460774630308,T-JUS-CKP,slope,0.5
