rank,feature,importance,importance_std,channel,stat,scale
47,T-TPT|last_diff|scale0.25,7.536872263329536e-08,6.880191586101004e-08,T-TPT,last_diff,0.25
48,P-MON-CKP|last_diff|scale0.25,5.021019869383067e-08,1.4321874362972307e-07,P-MON-CKP,last_diff,0.25
49,P-MON-CKP|slope|scale0.25,2.5087291149398885e-08,1.3759167979809854e-07,P-MON-CKP,slope,0.25
50,T-TPT|mean|scale0.5,2.4998240640721794e-08,2.4161764297022964e-07,T-TPT,mean,0.5
51,P-ANULAR|max|scale0.25,2.1652540105083097e-08,1.2438767010492191e-06,P-ANULAR,max,0.25
52,T-TPT|presence_frac,0.0,0.0,T-TPT,presence_frac,
53,P-JUS-CKGL|presence_frac,0.0,0.0,P-JUS-CKGL,presence_frac,
54,T-TPT|slope|scale0.25,0.0,0.0,T-TPT,slope,0.25
55,P-MON-CKP|presence_frac,0.0,0.0,P-MON-CKP,presence_frac,
56,P-JUS-CKGL|slope|scale0.25,-5.0281450418728464e-08,6.88507115460379e-08,P-JUS-CKGL,slope,0.25
57,P-MON-CKP|last_diff|scale0.5,-1.5102267967960015e-07,2.7253974351888587e-07,P-MON-CKP,last_diff,0.5
58,P-ANULAR|max|scale0.5,-2.515499830836902e-07,1.5406414441611017e-07,P-ANULAR,max,0.5
59,P-JUS-CKGL|slope|scale0.5,-2.5156783869891877e-07,1.7791371641649996e-07,P-JUS-CKGL,slope,0.5
60,T-TPT|mean|scale0.25,-2.531263934421146e-07,8.514828955452565e-07,T-TPT,mean,0.25
61,P-ANULAR|slope|scale0.5,-2.7686928362253466e-07,3.004443253573163e-07,P-ANULAR,slope,0.5
62,P-MON-CKP|min|scale1.0,-3.715359302357019e-07,4.47541253574634e-06,P-MON-CKP,min,1.0
63,T-TPT|last_diff|scale1.0,-3.807413460846492e-07,1.2217783131503472e-06,T-TPT,last_diff,1.0
64,T-TPT|mean|scale1.0,-4.5310435782455055e-07,2.610176270932272e-07,T-TPT,mean,1.0
65,T-JUS-CKP|min|scale0.25,-6.652336150551409e-07,1.891826294458313e-05,T-JUS-CKP,min,0.25
66,T-JUS-CKP|max|scale0.25,-6.826160787607978e-07,1.1067153507850552e-06,T-JUS-CKP,max,0.25
67,T-TPT|max|scale0.5,-1.1096090074671616e-06,3.938323174022176e-07,T-TPT,max,0.5
68,T-JUS-CKP|mean|scale0.5,-1.415675214104376e-06,1.0906181580796723e-06,T-JUS-CKP,mean,0.5
69,P-JUS-CKGL|last_diff|scale0.5,-1.468769232938641e-06,3.7060238106912593e-06,P-JUS-CKGL,last_diff,0.5
70,T-TPT|max|scale0.25,-1.8223382339503312e-06,1.2577771608638982e-06,T-TPT,max,0.25
71,T-TPT|min|scale0.5,-1.8321420438646643e-06,2.4503115134749125e-06,T-TPT,min,0.5
72,T-TPT|slope|scale0.5,-2.66566255512909e-06,6.1730696700639016e-06,T-TPT,slope,0.5
73,P-ANULAR|mean|scale0.25,-3.4264952118350303e-06,4.864226438468619e-06,P-ANULAR,mean,0.25
74,P-ANULAR|slope|scale1.0,-3.4286617425314126e-06,3.5886034694845296e-06,P-ANULAR,slope,1.0
75,P-ANULAR|min|scale1.0,-4.0089365812707374e-06,5.6567771071765385e-06,P-ANULAR,min,1.0
76,P-ANULAR|mean|scale1.0,-4.086339655121074e-06,8.168050562666645e-06,P-ANULAR,mean,1.0
77,T-JUS-CKP|last_diff|scale1.0,-4.112723022983938e-06,7.471731289319181e-06,T-JUS-CKP,last_diff,1.0
78,T-TPT|std|scale0.5,-7.0384668845049165e-06,6.506852075096111e-06,T-TPT,std,0.5
79,P-ANULAR|min|scale0.5,-7.887353436683509e-06,3.161444008331429e-07,P-ANULAR,min,0.5
80,T-JUS-CKP|std|scale0.5,-9.670182423950144e-06,1.2384676640636969e-05,T-JUS-CKP,std,0.5
81,T-TPT|min|scale1.0,-1.1052215770560915e-05,1.4990440563010107e-05,T-TPT,min,1.0
82,P-MON-CKP|std|scale1.0,-1.1551431588922703e-05,2.2741017696257292e-05,P-MON-CKP,std,1.0
83,T-TPT|std|scale1.0,-1.240365449801167e-05,1.1507787811167358e-05,T-TPT,std,1.0
84,P-ANULAR|max|scale1.0,-1.2806898553675579e-05,1.0565810222609858e-05,P-ANULAR,max,1.0
85,P-MON-CKP|min|scale0.5,-1.3786973036270803e-05,7.824946460944124e-07,P-MON-CKP,min,0.5
86,P-MON-CKP|max|scale0.5,-1.7041641456453792e-05,7.1727885779959444e-06,P-MON-CKP,max,0.5
87,T-JUS-CKP|std|scale0.25,-1.9914321918066703e-05,2.158734954657316e-05,T-JUS-CKP,std,0.25
88,T-JUS-CKP|std|scale1.0,-2.242749012690378e-05,5.877870890540228e-05,T-JUS-CKP,std,1.0
89,P-ANULAR|presence_frac,-4.026965527034413e-05,3.796498512547733e-05,P-ANULAR,presence_frac,
90,T-JUS-CKP|min|scale1.0,-6.500966026832535e-05,5.448527437340924e-05,T-JUS-CKP,min,1.0
91,P-JUS-CKGL|std|scale1.0,-0.00011647826893172527,7.038524536286818e-05,P-JUS-CKGL,std,1.0
92,P-MON-CKP|std|scale0.5,-0.00013242800987982921,1.0862522233044168e-05,P-MON-CKP,std,0.5
93,P-MON-CKP|std|scale0.25,-0.00020301279861551842,0.00022083975178771007,P-MON-CKP,std,0.25
94,P-JUS-CKGL|std|scale0.5,-0.00024938463768475776,1.7630510911856396e-06,P-JUS-CKGL,std,0.5
95,P-MON-CKP|max|scale1.0,-0.0004900020143488668,0.00020795604804293812,P-MON-CKP,max,1.0
