rank,feature,importance,channel,stat,scale
1,P-MON-CKP|min|scale1.0,0.12958982586860657,P-MON-CKP,min,1.0
2,P-JUS-CKGL|std|scale0.25,0.11719571799039841,P-JUS-CKGL,std,0.25
3,P-MON-CKP|std|scale0.25,0.07914171367883682,P-MON-CKP,std,0.25
4,P-JUS-CKGL|slope|scale0.5,0.061417125165462494,P-JUS-CKGL,slope,0.5
5,P-JUS-CKGL|min|scale0.5,0.05670405179262161,P-JUS-CKGL,min,0.5
6,P-ANULAR|slope|scale1.0,0.042110174894332886,P-ANULAR,slope,1.0
7,P-JUS-CKGL|slope|scale1.0,0.04149923101067543,P-JUS-CKGL,slope,1.0
8,P-ANULAR|last_diff|scale1.0,0.0372786745429039,P-ANULAR,last_diff,1.0
9,T-TPT|slope|scale1.0,0.030625764280557632,T-TPT,slope,1.0
10,P-MON-CKP|min|scale0.5,0.025871843099594116,P-MON-CKP,min,0.5
11,P-JUS-CKGL|min|scale0.25,0.024929920211434364,P-JUS-CKGL,min,0.25
12,T-TPT|std|scale0.25,0.02333066612482071,T-TPT,std,0.25
13,P-MON-CKP|max|scale1.0,0.02092326059937477,P-MON-CKP,max,1.0
14,T-TPT|max|scale1.0,0.01815596967935562,T-TPT,max,1.0
15,T-TPT|min|scale1.0,0.018123630434274673,T-TPT,min,1.0
16,P-JUS-CKGL|min|scale1.0,0.01632779836654663,P-JUS-CKGL,min,1.0
17,T-TPT|mean|scale1.0,0.0156808253377676,T-TPT,mean,1.0
18,P-ANULAR|std|scale1.0,0.013391150161623955,P-ANULAR,std,1.0
19,T-TPT|max|scale0.5,0.012841369956731796,T-TPT,max,0.5
20,P-MON-CKP|std|scale0.5,0.011978759430348873,P-MON-CKP,std,0.5
21,P-ANULAR|std|scale0.5,0.01038347091525793,P-ANULAR,std,0.5
22,P-MON-CKP|mean|scale1.0,0.009082034230232239,P-MON-CKP,mean,1.0
23,P-ANULAR|last_diff|scale0.5,0.00866749044507742,P-ANULAR,last_diff,0.5
24,P-MON-CKP|std|scale1.0,0.008339430205523968,P-MON-CKP,std,1.0
25,P-JUS-CKGL|std|scale0.5,0.008218989707529545,P-JUS-CKGL,std,0.5
26,P-MON-CKP|last_diff|scale1.0,0.007817796431481838,P-MON-CKP,last_diff,1.0
27,P-JUS-CKGL|max|scale0.25,0.00771189434453845,P-JUS-CKGL,max,0.25
28,P-ANULAR|mean|scale0.5,0.007507052272558212,P-ANULAR,mean,0.5
29,P-MON-CKP|min|scale0.25,0.007307684980332851,P-MON-CKP,min,0.25
30,P-ANULAR|min|scale1.0,0.007219341117888689,P-ANULAR,min,1.0
31,P-MON-CKP|mean|scale0.25,0.006716900039464235,P-MON-CKP,mean,0.25
32,P-JUS-CKGL|std|scale1.0,0.00671241944655776,P-JUS-CKGL,std,1.0
33,P-JUS-CKGL|max|scale1.0,0.006203823257237673,P-JUS-CKGL,max,1.0
34,T-JUS-CKP|mean|scale0.25,0.005919951014220715,T-JUS-CKP,mean,0.25
35,P-ANULAR|mean|scale1.0,0.005834647454321384,P-ANULAR,mean,1.0
36,P-JUS-CKGL|max|scale0.5,0.005574975162744522,P-JUS-CKGL,max,0.5
37,T-TPT|max|scale0.25,0.005502491723746061,T-TPT,max,0.25
38,P-ANULAR|min|scale0.5,0.004391737747937441,P-ANULAR,min,0.5
39,P-JUS-CKGL|mean|scale0.25,0.00433490751311183,P-JUS-CKGL,mean,0.25
40,T-JUS-CKP|mean|scale1.0,0.003517166478559375,T-JUS-CKP,mean,1.0
41,T-TPT|presence_frac,0.0033961059525609016,T-TPT,presence_frac,
42,T-TPT|last_diff|scale0.25,0.002791967475786805,T-TPT,last_diff,0.25
43,T-JUS-CKP|min|scale0.5,0.0027729524299502373,T-JUS-CKP,min,0.5
44,T-JUS-CKP|max|scale0.5,0.0027444290462881327,T-JUS-CKP,max,0.5
45,T-TPT|last_diff|scale1.0,0.0027243036311119795,T-TPT,last_diff,1.0
46,T-JUS-CKP|min|scale1.0,0.002682154066860676,T-JUS-CKP,min,1.0
47,P-ANULAR|max|scale1.0,0.0026640768628567457,P-ANULAR,max,1.0
48,P-ANULAR|std|scale0.25,0.002560647903010249,P-ANULAR,std,0.25
49,P-MON-CKP|slope|scale1.0,0.0025151644367724657,P-MON-CKP,slope,1.0
50,T-JUS-CKP|std|scale1.0,0.0024339789524674416,T-JUS-CKP,std,1.0
51,T-JUS-CKP|max|scale0.25,0.00235157017596066,T-JUS-CKP,max,0.25
52,P-ANULAR|slope|scale0.5,0.002033716533333063,P-ANULAR,slope,0.5
53,P-JUS-CKGL|last_diff|scale0.5,0.00202802661806345,P-JUS-CKGL,last_diff,0.5
54,P-ANULAR|presence_frac,0.001950905891135335,P-ANULAR,presence_frac,
55,T-JUS-CKP|slope|scale0.5,0.0018515243427827954,T-JUS-CKP,slope,0.5
56,P-ANULAR|mean|scale0.25,0.001820615609176457,P-ANULAR,mean,0.25
57,P-JUS-CKGL|mean|scale1.0,0.0016028492245823145,P-JUS-CKGL,mean,1.0
58,P-MON-CKP|mean|scale0.5,0.0015148438978940248,P-MON-CKP,mean,0.5
59,T-TPT|mean|scale0.5,0.001438717357814312,T-TPT,mean,0.5
60,T-TPT|mean|scale0.25,0.0013737007975578308,T-TPT,mean,0.25
61,T-JUS-CKP|slope|scale1.0,0.001359959365800023,T-JUS-CKP,slope,1.0
62,P-ANULAR|max|scale0.5,0.0011779777705669403,P-ANULAR,max,0.5
63,T-TPT|min|scale0.5,0.001170798554085195,T-TPT,min,0.5
64,T-TPT|slope|scale0.5,0.001154787838459015,T-TPT,slope,0.5
65,T-JUS-CKP|std|scale0.5,0.0011042809346690774,T-JUS-CKP,std,0.5
66,T-JUS-CKP|min|scale0.25,0.0010739300632849336,T-JUS-CKP,min,0.25
67,T-JUS-CKP|max|scale1.0,0.0010217984672635794,T-JUS-CKP,max,1.0
68,P-ANULAR|max|scale0.25,0.001017556176520884,P-ANULAR,max,0.25
69,T-JUS-CKP|presence_frac,0.0009199589258059859,T-JUS-CKP,presence_frac,
70,T-JUS-CKP|std|scale0.25,0.0008833098690956831,T-JUS-CKP,std,0.25
71,P-MON-CKP|slope|scale0.5,0.0008290397236123681,P-MON-CKP,slope,0.5
72,P-MON-CKP|last_diff|scale0.25,0.000769754231441766,P-MON-CKP,last_diff,0.25
73,T-TPT|std|scale1.0,0.0007458780892193317,T-TPT,std,1.0
74,P-ANULAR|last_diff|scale0.25,0.0006032827077433467,P-ANULAR,last_diff,0.25
75,T-TPT|std|scale0.5,0.0005774744204245508,T-TPT,std,0.5
76,P-JUS-CKGL|mean|scale0.5,0.0005369688151404262,P-JUS-CKGL,mean,0.5
77,T-JUS-CKP|slope|scale0.25,0.0005351172876544297,T-JUS-CKP,slope,0.25
78,T-TPT|min|scale0.25,0.0005286905216053128,T-TPT,min,0.25
79,P-JUS-CKGL|last_diff|scale0.25,0.0005145769682712853,P-JUS-CKGL,last_diff,0.25
80,P-JUS-CKGL|slope|scale0.25,0.0004982319078408182,P-JUS-CKGL,slope,0.25
81,P-MON-CKP|max|scale0.25,0.000484427553601563,P-MON-CKP,max,0.25
82,T-JUS-CKP|last_diff|scale0.5,0.0004243544826749712,T-JUS-CKP,last_diff,0.5
83,P-JUS-CKGL|last_diff|scale1.0,0.0004237904504407197,P-JUS-CKGL,last_diff,1.0
84,T-TPT|last_diff|scale0.5,0.0003643198579084128,T-TPT,last_diff,0.5
85,T-JUS-CKP|last_diff|scale0.25,0.0003475589619483799,T-JUS-CKP,last_diff,0.25
86,T-JUS-CKP|last_diff|scale1.0,0.00031074965954758227,T-JUS-CKP,last_diff,1.0
87,P-ANULAR|slope|scale0.25,0.000306791189359501,P-ANULAR,slope,0.25
