n_estimators,max_depth,learning_rate,subsample,mean_val_pr_auc,n_inner_scored,n_inner_skipped
300,3,0.05,0.8,0.49195203300685186,2,1
600,3,0.05,0.8,0.48006299453805823,2,1
300,3,0.1,0.8,0.47647456453780845,2,1
600,3,0.1,0.8,0.4668413785158045,2,1
300,6,0.05,1.0,0.45956691316608356,2,1
300,3,0.05,1.0,0.4581547980694261,2,1
600,3,0.05,1.0,0.45580172928700013,2,1
600,6,0.05,1.0,0.45107794958073694,2,1
300,3,0.1,1.0,0.4417812057703162,2,1
300,6,0.1,1.0,0.43857195225099854,2,1
600,3,0.1,1.0,0.4322228262695447,2,1
300,6,0.05,0.8,0.4316411087406885,2,1
600,6,0.1,1.0,0.43026695363998324,2,1
600,6,0.05,0.8,0.42661554659602463,2,1
300,6,0.1,0.8,0.42359131444057974,2,1
600,6,0.1,0.8,0.4178412703627528,2,1
