rank,channel,total,mean,max,n_features,share
1,T-TPT,5.940078140635559e-05,3.1263569161239783e-06,5.656272190641592e-05,19,0.5025764868850797
2,P-JUS-CKGL,5.8791738451697984e-05,3.0943020237735782e-06,4.5560857352573326e-05,19,0.4974235131149202
3,P-ANULAR,-5.635153555856111e-05,-2.965870292555848e-06,1.1168858736762928e-05,19,0.0
4,T-JUS-CKP,-9.127024719560804e-05,-4.803697220821476e-06,2.5508052130274205e-05,19,0.0
5,P-MON-CKP,-0.0001958271521564114,-1.0306692218758494e-05,5.064912610748312e-06,19,0.0
