rank,feature,importance,importance_std,channel,stat,scale
1,P-ANULAR|presence_frac,0.23540074134957809,0.007001192913780597,P-ANULAR,presence_frac,
2,P-JUS-CKGL|min|scale1.0,0.14102029616205186,0.009730693160442989,P-JUS-CKGL,min,1.0
3,P-JUS-CKGL|presence_frac,0.11394748154459138,0.0058499099741760275,P-JUS-CKGL,presence_frac,
4,P-ANULAR|std|scale0.25,0.094755754833356,0.005513020880351156,P-ANULAR,std,0.25
5,T-TPT|max|scale1.0,0.04264815008585365,0.005714980257360851,T-TPT,max,1.0
6,T-TPT|presence_frac,0.04200458581487887,0.007291805996532022,T-TPT,presence_frac,
7,P-JUS-CKGL|max|scale1.0,0.031938683610652774,0.0029521302156211445,P-JUS-CKGL,max,1.0
8,P-ANULAR|min|scale1.0,0.030404734700397108,0.0073841822060051725,P-ANULAR,min,1.0
9,P-JUS-CKGL|slope|scale0.5,0.029694020006359567,0.0017015134649997455,P-JUS-CKGL,slope,0.5
10,P-MON-CKP|mean|scale1.0,0.029044170862218575,0.0036445294979470877,P-MON-CKP,mean,1.0
11,P-JUS-CKGL|mean|scale1.0,0.022340321653991267,0.0026119562837243183,P-JUS-CKGL,mean,1.0
12,T-TPT|min|scale1.0,0.021391068481388987,0.002456109331874754,T-TPT,min,1.0
13,P-ANULAR|min|scale0.25,0.02100636165590917,0.002332479441768007,P-ANULAR,min,0.25
14,P-ANULAR|mean|scale0.25,0.02038411810753533,0.004400026375557823,P-ANULAR,mean,0.25
15,P-JUS-CKGL|last_diff|scale1.0,0.01900148564702957,0.002812788719004304,P-JUS-CKGL,last_diff,1.0
16,P-ANULAR|last_diff|scale0.5,0.018688909196810675,0.0013330475027078486,P-ANULAR,last_diff,0.5
17,T-TPT|mean|scale1.0,0.01801291471334283,0.0016359922598968794,T-TPT,mean,1.0
18,T-TPT|min|scale0.5,0.015605400157937942,0.0017520142534201459,T-TPT,min,0.5
19,P-ANULAR|max|scale0.5,0.01556576814644015,0.0010999748389653825,P-ANULAR,max,0.5
20,P-MON-CKP|min|scale0.5,0.011494325078692835,0.003173274766141011,P-MON-CKP,min,0.5
21,P-JUS-CKGL|mean|scale0.5,0.009922236812580577,0.0012563388267173058,P-JUS-CKGL,mean,0.5
22,P-ANULAR|slope|scale1.0,0.009566457192857425,0.0011333783917694545,P-ANULAR,slope,1.0
23,P-JUS-CKGL|last_diff|scale0.25,0.009525562051627934,0.0024644065277341595,P-JUS-CKGL,last_diff,0.25
24,T-JUS-CKP|max|scale1.0,0.009098853227847847,0.0023027470432407196,T-JUS-CKP,max,1.0
25,T-JUS-CKP|min|scale1.0,0.009025396452830936,0.0011359638647771557,T-JUS-CKP,min,1.0
26,P-JUS-CKGL|slope|scale0.25,0.006838467024569361,0.00019662665013456655,P-JUS-CKGL,slope,0.25
27,P-ANULAR|slope|scale0.5,0.005491028425632849,0.00201822660385888,P-ANULAR,slope,0.5
28,T-TPT|slope|scale1.0,0.003965957605064752,0.0007188205429833316,T-TPT,slope,1.0
29,T-JUS-CKP|min|scale0.5,0.003956464057444165,0.0005929955306370224,T-JUS-CKP,min,0.5
30,P-MON-CKP|max|scale0.25,0.003476359431236431,0.0009922814260982873,P-MON-CKP,max,0.25
