rank,feature,importance,channel,stat,scale
1,T-JUS-CKP|min|scale0.25,0.20252355933189392,T-JUS-CKP,min,0.25
2,T-JUS-CKP|min|scale0.5,0.19705848395824432,T-JUS-CKP,min,0.5
3,P-JUS-CKGL|last_diff|scale0.5,0.18587028980255127,P-JUS-CKGL,last_diff,0.5
4,P-JUS-CKGL|max|scale1.0,0.12699711322784424,P-JUS-CKGL,max,1.0
5,P-JUS-CKGL|last_diff|scale0.25,0.05001913383603096,P-JUS-CKGL,last_diff,0.25
6,T-JUS-CKP|min|scale1.0,0.03539098799228668,T-JUS-CKP,min,1.0
7,P-ANULAR|std|scale1.0,0.025431232526898384,P-ANULAR,std,1.0
8,T-TPT|max|scale1.0,0.015572815202176571,T-TPT,max,1.0
9,P-JUS-CKGL|slope|scale0.5,0.013612900860607624,P-JUS-CKGL,slope,0.5
10,P-JUS-CKGL|slope|scale0.25,0.010194331407546997,P-JUS-CKGL,slope,0.25
11,T-TPT|mean|scale0.25,0.00895417109131813,T-TPT,mean,0.25
12,T-JUS-CKP|std|scale0.25,0.00527685321867466,T-JUS-CKP,std,0.25
13,P-JUS-CKGL|min|scale0.25,0.005266670603305101,P-JUS-CKGL,min,0.25
14,P-JUS-CKGL|std|scale0.25,0.004986392334103584,P-JUS-CKGL,std,0.25
15,P-MON-CKP|std|scale0.25,0.004840254317969084,P-MON-CKP,std,0.25
16,T-JUS-CKP|last_diff|scale1.0,0.004550800658762455,T-JUS-CKP,last_diff,1.0
17,T-TPT|presence_frac,0.004306578543037176,T-TPT,presence_frac,
18,T-JUS-CKP|max|scale0.25,0.004117242991924286,T-JUS-CKP,max,0.25
19,P-JUS-CKGL|mean|scale1.0,0.003924470394849777,P-JUS-CKGL,mean,1.0
20,P-ANULAR|last_diff|scale1.0,0.003912639804184437,P-ANULAR,last_diff,1.0
21,P-ANULAR|mean|scale1.0,0.0038803410716354847,P-ANULAR,mean,1.0
22,T-TPT|max|scale0.5,0.0038345600478351116,T-TPT,max,0.5
23,T-TPT|std|scale0.25,0.003531229216605425,T-TPT,std,0.25
24,T-TPT|std|scale1.0,0.0033116380218416452,T-TPT,std,1.0
25,T-JUS-CKP|mean|scale0.25,0.0030158439185470343,T-JUS-CKP,mean,0.25
26,T-TPT|std|scale0.5,0.002902744570747018,T-TPT,std,0.5
27,T-TPT|max|scale0.25,0.0028617524076253176,T-TPT,max,0.25
28,P-ANULAR|std|scale0.5,0.002586107701063156,P-ANULAR,std,0.5
29,P-ANULAR|max|scale1.0,0.0020934713538736105,P-ANULAR,max,1.0
30,P-JUS-CKGL|min|scale0.5,0.002076728269457817,P-JUS-CKGL,min,0.5
31,T-TPT|min|scale1.0,0.0020323849748820066,T-TPT,min,1.0
32,T-JUS-CKP|max|scale1.0,0.0019480856135487556,T-JUS-CKP,max,1.0
33,T-JUS-CKP|slope|scale0.25,0.0018013257067650557,T-JUS-CKP,slope,0.25
34,T-JUS-CKP|std|scale0.5,0.0017897114157676697,T-JUS-CKP,std,0.5
35,P-ANULAR|max|scale0.5,0.001782110659405589,P-ANULAR,max,0.5
36,P-JUS-CKGL|slope|scale1.0,0.0017687724903225899,P-JUS-CKGL,slope,1.0
37,P-ANULAR|last_diff|scale0.25,0.001661962829530239,P-ANULAR,last_diff,0.25
38,P-JUS-CKGL|mean|scale0.5,0.0016271895729005337,P-JUS-CKGL,mean,0.5
39,P-ANULAR|min|scale1.0,0.0015842836583033204,P-ANULAR,min,1.0
40,P-JUS-CKGL|min|scale1.0,0.0015552720287814736,P-JUS-CKGL,min,1.0
41,P-MON-CKP|std|scale0.5,0.0014845245750620961,P-MON-CKP,std,0.5
42,P-JUS-CKGL|max|scale0.5,0.001422040513716638,P-JUS-CKGL,max,0.5
43,P-JUS-CKGL|mean|scale0.25,0.0013299996498972178,P-JUS-CKGL,mean,0.25
44,P-JUS-CKGL|last_diff|scale1.0,0.001323751057498157,P-JUS-CKGL,last_diff,1.0
45,P-MON-CKP|mean|scale0.25,0.0013200311223044991,P-MON-CKP,mean,0.25
46,T-JUS-CKP|mean|scale0.5,0.0013154868502169847,T-JUS-CKP,mean,0.5
47,P-JUS-CKGL|max|scale0.25,0.0013151096645742655,P-JUS-CKGL,max,0.25
48,P-MON-CKP|min|scale0.25,0.0012618619948625565,P-MON-CKP,min,0.25
