stat,total,mean,n_features,share
mean,5.767319881947217e-05,3.844879921298145e-06,15,-0.05551349165669372
last_diff,2.870415300941545e-05,1.9136102006276967e-06,15,-0.02762925919175204
min,1.997545766393737e-05,1.3316971775958247e-06,15,-0.019227430159313896
slope,1.353600587874164e-05,9.024003919161093e-07,15,-0.013029118633883993
presence_frac,-2.2265466927684923e-05,-4.453093385536985e-06,5,0.02143168469623893
max,-0.00040808953359392294,-2.720596890626153e-05,15,0.3928076711899229
std,-0.0007284380000908097,-4.8562533339387316e-05,15,0.7011599437554817
