rank,feature,importance,importance_std,channel,stat,scale
51,P-ANULAR|last_diff|scale0.25,-0.000132360234984219,2.206190857847648e-05,P-ANULAR,last_diff,0.25
52,T-TPT|mean|scale0.5,-0.00033094857878105397,0.0001342587561665732,T-TPT,mean,0.5
53,T-JUS-CKP|mean|scale0.5,-0.00039795708552669006,0.00012125230862974327,T-JUS-CKP,mean,0.5
54,T-JUS-CKP|slope|scale0.5,-0.0004328607531858375,0.00037914271379970425,T-JUS-CKP,slope,0.5
55,T-JUS-CKP|max|scale0.25,-0.0004563653804954826,0.00016530977016865938,T-JUS-CKP,max,0.25
56,T-JUS-CKP|last_diff|scale0.25,-0.0005400154047251526,7.680109446446781e-05,T-JUS-CKP,last_diff,0.25
57,P-JUS-CKGL|max|scale0.5,-0.0008086904076346046,0.0002170101514413477,P-JUS-CKGL,max,0.5
58,P-MON-CKP|presence_frac,-0.0008645310715049426,0.0001403440784272052,P-MON-CKP,presence_frac,
59,P-MON-CKP|std|scale0.5,-0.0008775949101817837,0.00022997532965918015,P-MON-CKP,std,0.5
60,T-TPT|last_diff|scale1.0,-0.0009244681101852392,0.0007747264524182714,T-TPT,last_diff,1.0
61,T-JUS-CKP|slope|scale0.25,-0.0010176629463425457,5.5272910810277306e-05,T-JUS-CKP,slope,0.25
62,P-JUS-CKGL|min|scale0.5,-0.0010928149872005966,0.0002549731172216279,P-JUS-CKGL,min,0.5
63,P-ANULAR|min|scale0.5,-0.0011888131056934815,0.0002166211977124811,P-ANULAR,min,0.5
64,P-MON-CKP|max|scale0.25,-0.0012501316160396015,0.0005019741424163118,P-MON-CKP,max,0.25
65,P-ANULAR|slope|scale0.25,-0.0014426202821244127,0.0001512816105633191,P-ANULAR,slope,0.25
66,P-ANULAR|max|scale0.25,-0.00159667200706749,0.0001875428355842779,P-ANULAR,max,0.25
67,T-JUS-CKP|mean|scale0.25,-0.0016125838607915055,8.745797031352277e-05,T-JUS-CKP,mean,0.25
68,T-JUS-CKP|std|scale0.25,-0.0016859735759036376,0.00075067100288667,T-JUS-CKP,std,0.25
69,T-TPT|std|scale0.25,-0.001952090791383082,0.0003451041650093059,T-TPT,std,0.25
70,T-TPT|slope|scale0.25,-0.002368717036751705,0.0006005295111903665,T-TPT,slope,0.25
71,T-TPT|min|scale0.5,-0.0027009738500726075,0.0003970051868332748,T-TPT,min,0.5
72,P-JUS-CKGL|mean|scale0.5,-0.0029970080978963753,0.0002722750231182638,P-JUS-CKGL,mean,0.5
73,T-TPT|slope|scale1.0,-0.0034134153053159088,0.001240241109604291,T-TPT,slope,1.0
