rank,channel,total,mean,max,n_features,share
1,P-JUS-CKGL,0.10277535461018499,0.005409229190009736,0.031086885380412793,19,0.5822823977133997
2,T-TPT,0.053591092283320055,0.002820583804385266,0.023733406312553863,19,0.3036248313534815
3,T-JUS-CKP,0.020137866157653297,0.0010598876925080683,0.006642240683626377,19,0.1140927709331188
4,P-MON-CKP,-0.00759277563389402,-0.0003996197702049484,0.0014506970827780352,19,0.0
5,P-ANULAR,-0.25832755435291926,-0.013596187071206278,0.00038746677418999287,19,0.0
