stat,total,mean,n_features,share
presence_frac,0.3879833571128677,0.07759667142257354,5,0.47433048258409505
min,0.23142236831619098,0.015428157887746066,15,0.2829262689539537
mean,0.10362219737838538,0.006908146491892359,15,0.12668369915314534
max,0.09743422672876609,0.006495615115251072,15,0.11911857283872904
last_diff,0.0480767255143137,0.0032051150342875803,15,0.05877637789404853
slope,0.027090894341850857,0.0018060596227900572,15,0.033120072681536855
std,-0.07766977871418493,-0.005177985247612329,15,-0.09495547410550861
