stat,total,mean,n_features,share
mean,0.013786285582966538,0.0009190857055311025,15,-0.18432072241855546
min,0.007807594920649346,0.0005205063280432897,15,-0.10438645909842419
slope,0.001460470129165306,9.736467527768706e-05,15,-0.019526282671169265
std,0.0012268551185234695,8.179034123489796e-05,15,-0.0164028824434441
last_diff,-0.0008494338092600417,-5.6628920617336115e-05,15,0.011356811987342126
presence_frac,-0.003706852974435923,-0.0007413705948871846,5,0.04956010914147757
max,-0.09452001201016223,-0.006301334134010816,15,1.2637194255027733
