scale,total,mean,n_features,share
0.25,-0.00013705678074864093,-4.568559358288031e-06,30,0.13481365432948408
0.5,-0.0003597090112083589,-1.1990300373611963e-05,30,0.3538218688003518
1.0,-0.0005198729263561663,-1.732909754520554e-05,30,0.5113644768701641
