stat,total,mean,n_features,share
std,0.02933620149635406,0.0019557467664236042,15,-0.32808665048751634
presence_frac,0.023222983521958025,0.004644596704391605,5,-0.2597183851151592
last_diff,0.01730831064880351,0.0011538873765869007,15,-0.19357058435357083
slope,0.01377125291713045,0.0009180835278086966,15,-0.15401326729908404
min,0.011261248361894823,0.0007507498907929882,15,-0.1259421829312592
mean,-0.05516970680613951,-0.0036779804537426337,15,0.6170002723990763
max,-0.12914630707565627,-0.008609753805043752,15,1.4443307977875133
