rank,feature,importance,importance_std,channel,stat,scale
1,P-JUS-CKGL|max|scale1.0,0.031086885380412793,0.00032303488879157255,P-JUS-CKGL,max,1.0
2,T-TPT|presence_frac,0.023733406312553863,0.000987677596599513,T-TPT,presence_frac,
3,P-JUS-CKGL|max|scale0.5,0.014992910846523802,0.0003355672568243646,P-JUS-CKGL,max,0.5
4,P-JUS-CKGL|last_diff|scale0.25,0.011825234186963842,0.001251071795117552,P-JUS-CKGL,last_diff,0.25
5,P-JUS-CKGL|slope|scale1.0,0.010007537977970774,0.0007251636269958379,P-JUS-CKGL,slope,1.0
6,P-JUS-CKGL|std|scale0.5,0.00881930878045562,0.00023606168262735715,P-JUS-CKGL,std,0.5
7,T-TPT|max|scale1.0,0.007549976603869096,0.0008925677479057835,T-TPT,max,1.0
8,T-JUS-CKP|std|scale1.0,0.006642240683626377,0.00033802056614968705,T-JUS-CKP,std,1.0
9,T-TPT|std|scale0.25,0.005712954787089791,0.0002566790854943808,T-TPT,std,0.25
10,T-TPT|std|scale0.5,0.005216623204912482,0.0005864651958696101,T-TPT,std,0.5
11,P-JUS-CKGL|slope|scale0.5,0.004662124770573381,0.00031162878439222776,P-JUS-CKGL,slope,0.5
12,P-JUS-CKGL|min|scale1.0,0.004629882531648885,0.0005299649198072793,P-JUS-CKGL,min,1.0
13,P-JUS-CKGL|last_diff|scale1.0,0.004402878200528856,0.0003209843486077265,P-JUS-CKGL,last_diff,1.0
14,T-JUS-CKP|std|scale0.5,0.0042220744473076945,0.00022763516013715978,T-JUS-CKP,std,0.5
15,P-JUS-CKGL|mean|scale1.0,0.004062306503306154,0.00029891909314162546,P-JUS-CKGL,mean,1.0
16,T-TPT|std|scale1.0,0.0035782130908788732,0.00034982723262142807,T-TPT,std,1.0
17,T-JUS-CKP|min|scale0.25,0.003574458279372131,0.0002549187083256975,T-JUS-CKP,min,0.25
18,P-JUS-CKGL|max|scale0.25,0.0034504144275786103,0.00011454525298757393,P-JUS-CKGL,max,0.25
19,T-TPT|max|scale0.25,0.0029873425775835292,0.0003242741480830765,T-TPT,max,0.25
20,T-TPT|max|scale0.5,0.0028695138749124495,0.0002640036719672193,T-TPT,max,0.5
21,P-JUS-CKGL|min|scale0.25,0.0028203945826838716,0.0002972312447579051,P-JUS-CKGL,min,0.25
22,P-JUS-CKGL|min|scale0.5,0.0023402639521829666,0.00011454553910716536,P-JUS-CKGL,min,0.5
23,T-TPT|min|scale1.0,0.0020487248939687923,0.00027255637750548236,T-TPT,min,1.0
24,P-JUS-CKGL|slope|scale0.25,0.0017968534526768831,0.00023900649491930044,P-JUS-CKGL,slope,0.25
25,T-TPT|last_diff|scale0.25,0.0016640878315547253,0.00013882122408437423,T-TPT,last_diff,0.25
26,T-JUS-CKP|max|scale1.0,0.0015083080914181425,5.822141559741029e-05,T-JUS-CKP,max,1.0
27,P-MON-CKP|mean|scale1.0,0.0014506970827780352,0.0001672203450991375,P-MON-CKP,mean,1.0
28,T-JUS-CKP|min|scale1.0,0.0014347286026474477,0.000385436876761729,T-JUS-CKP,min,1.0
29,T-JUS-CKP|min|scale0.5,0.0011698121220670293,0.00018461487138953322,T-JUS-CKP,min,0.5
30,T-JUS-CKP|mean|scale1.0,0.0011336226124127823,2.200818537938103e-05,T-JUS-CKP,mean,1.0
31,T-TPT|last_diff|scale1.0,0.000996796691406393,0.00022916154095820837,T-TPT,last_diff,1.0
32,P-MON-CKP|std|scale0.25,0.0009245906436335077,0.00024495718918803906,P-MON-CKP,std,0.25
33,P-MON-CKP|presence_frac,0.0008896637224947796,6.219991296469673e-05,P-MON-CKP,presence_frac,
34,T-TPT|mean|scale0.5,0.0007395034360881847,3.2176168564060156e-05,T-TPT,mean,0.5
35,P-MON-CKP|max|scale0.5,0.0007386482628059104,8.721961228274521e-05,P-MON-CKP,max,0.5
36,T-JUS-CKP|last_diff|scale0.25,0.0006996179365756805,0.00010730395174339197,T-JUS-CKP,last_diff,0.25
37,T-JUS-CKP|mean|scale0.25,0.0006233204795392438,0.0001565703185591837,T-JUS-CKP,mean,0.25
38,T-JUS-CKP|slope|scale1.0,0.000613430758887018,0.00024864037519690084,T-JUS-CKP,slope,1.0
39,T-TPT|slope|scale0.25,0.0005127108450043438,5.727196253477163e-05,T-TPT,slope,0.25
40,T-JUS-CKP|slope|scale0.5,0.00042696578706404584,9.676247911187727e-05,T-JUS-CKP,slope,0.5
41,P-ANULAR|presence_frac,0.00038746677418999287,2.5409169704093955e-05,P-ANULAR,presence_frac,
42,T-TPT|min|scale0.25,0.00028149362814579857,2.9100043780181556e-05,T-TPT,min,0.25
43,T-JUS-CKP|last_diff|scale1.0,0.00025852398825329526,2.6367197052646197e-05,T-JUS-CKP,last_diff,1.0
44,T-TPT|min|scale0.5,0.0002299251697293836,5.456226663809064e-05,T-TPT,min,0.5
45,P-JUS-CKGL|presence_frac,0.00022944217366994423,3.596977128494505e-05,P-JUS-CKGL,presence_frac,
46,T-JUS-CKP|last_diff|scale0.5,0.00022463115517433463,0.00021025019217651224,T-JUS-CKP,last_diff,0.5
47,P-MON-CKP|last_diff|scale0.5,0.0002157151687390224,7.995461485834794e-05,P-MON-CKP,last_diff,0.5
48,P-JUS-CKGL|std|scale1.0,0.0001452947019430745,0.0011788112287904298,P-JUS-CKGL,std,1.0
49,T-JUS-CKP|mean|scale0.5,0.0001349782083923501,8.93501592899005e-06,T-JUS-CKP,mean,0.5
50,T-JUS-CKP|max|scale0.5,9.946080885470388e-05,3.313519770457656e-05,T-JUS-CKP,max,0.5
51,P-MON-CKP|last_diff|scale0.25,5.8107612356700365e-05,1.461366662791432e-05,P-MON-CKP,last_diff,0.25
52,P-ANULAR|mean|scale0.5,0.0,0.0,P-ANULAR,mean,0.5
53,P-ANULAR|slope|scale0.5,0.0,0.0,P-ANULAR,slope,0.5
54,P-ANULAR|slope|scale0.25,0.0,0.0,P-ANULAR,slope,0.25
55,P-ANULAR|min|scale0.25,0.0,0.0,P-ANULAR,min,0.25
56,P-ANULAR|std|scale0.5,-7.259005295803811e-06,3.4027277537097914e-06,P-ANULAR,std,0.5
57,P-ANULAR|last_diff|scale0.5,-1.3051927289370324e-05,1.1316520882962307e-05,P-ANULAR,last_diff,0.5
58,P-MON-CKP|slope|scale0.5,-2.8185311115849766e-05,5.4498914262502963e-05,P-MON-CKP,slope,0.5
59,T-JUS-CKP|slope|scale0.25,-2.9491412941914928e-05,4.7179873941150794e-05,T-JUS-CKP,slope,0.25
60,P-MON-CKP|last_diff|scale1.0,-4.206055746318049e-05,7.969502376734538e-05,P-MON-CKP,last_diff,1.0
61,P-MON-CKP|slope|scale0.25,-4.488990191407194e-05,1.7405203050758065e-05,P-MON-CKP,slope,0.25
62,P-ANULAR|last_diff|scale0.25,-5.351125251423228e-05,7.828865980892398e-06,P-ANULAR,last_diff,0.25
63,T-TPT|last_diff|scale0.5,-8.500736870570291e-05,2.082680418735944e-05,T-TPT,last_diff,0.5
64,T-TPT|slope|scale1.0,-0.00014315668758083656,0.0001232747109357125,T-TPT,slope,1.0
65,P-MON-CKP|std|scale0.5,-0.00016320207448088098,0.00014757535577552785,P-MON-CKP,std,0.5
66,T-TPT|slope|scale0.5,-0.00016361572078513742,3.289554716360888e-05,T-TPT,slope,0.5
67,P-MON-CKP|min|scale0.5,-0.00016936618924566217,1.6337391255829004e-05,P-MON-CKP,min,0.5
68,T-JUS-CKP|max|scale0.25,-0.00023508294354656346,5.1026168964738816e-05,T-JUS-CKP,max,0.25
69,T-TPT|mean|scale0.25,-0.000277876033494695,6.340398225547608e-05,T-TPT,mean,0.25
70,T-JUS-CKP|std|scale0.25,-0.0003467379864999454,3.1240545976686034e-05,T-JUS-CKP,std,0.25
71,P-JUS-CKGL|mean|scale0.25,-0.0003887361819477575,7.549463536146303e-05,P-JUS-CKGL,mean,0.25
72,P-ANULAR|mean|scale0.25,-0.000439768710273622,1.0713209339552992e-05,P-ANULAR,mean,0.25
73,P-JUS-CKGL|last_diff|scale0.5,-0.0004830645091727953,0.0003885752153561171,P-JUS-CKGL,last_diff,0.5
74,P-ANULAR|min|scale0.5,-0.0005743381982775935,2.2544467661045394e-05,P-ANULAR,min,0.5
75,P-MON-CKP|min|scale0.25,-0.0006138487789591335,7.278335243497683e-05,P-MON-CKP,min,0.25
76,P-ANULAR|max|scale0.5,-0.0006921074625869855,4.665246706633257e-05,P-ANULAR,max,0.5
77,P-MON-CKP|mean|scale0.25,-0.0007370756028087788,5.2446098488627355e-05,P-MON-CKP,mean,0.25
78,P-JUS-CKGL|std|scale0.25,-0.0008045317762901433,0.0006318880513902654,P-JUS-CKGL,std,0.25
79,P-JUS-CKGL|mean|scale0.5,-0.0008200453915237771,9.22093901383671e-05,P-JUS-CKGL,mean,0.5
80,P-ANULAR|std|scale1.0,-0.0008336422358836915,0.0001301889836783397,P-ANULAR,std,1.0
81,P-MON-CKP|mean|scale0.5,-0.0008479196509853737,7.00207857526635e-05,P-MON-CKP,mean,0.5
82,P-MON-CKP|max|scale0.25,-0.0009038178343072662,0.00014115498605568074,P-MON-CKP,max,0.25
83,P-MON-CKP|slope|scale1.0,-0.001148033191667805,0.0002578826736653925,P-MON-CKP,slope,1.0
84,P-MON-CKP|std|scale1.0,-0.0016722896750879456,9.0456296003432e-05,P-MON-CKP,std,1.0
85,P-MON-CKP|max|scale1.0,-0.001992129960940811,2.372153356424274e-05,P-MON-CKP,max,1.0
86,T-JUS-CKP|presence_frac,-0.002016995460950555,0.00021842541476431944,T-JUS-CKP,presence_frac,
87,P-ANULAR|std|scale0.25,-0.002097436089954946,0.00020980025241789876,P-ANULAR,std,0.25
88,P-ANULAR|last_diff|scale1.0,-0.0023605865076040595,0.0002012911448164698,P-ANULAR,last_diff,1.0
89,P-ANULAR|min|scale1.0,-0.0024035028363438766,6.724372620270407e-05,P-ANULAR,min,1.0
90,P-ANULAR|slope|scale1.0,-0.0026909984490403826,0.0002129167178651236,P-ANULAR,slope,1.0
91,P-MON-CKP|min|scale1.0,-0.003507379397725216,0.0003032660528964116,P-MON-CKP,min,1.0
92,T-TPT|mean|scale1.0,-0.0038605248538112783,0.00020128774792186883,T-TPT,mean,1.0
93,P-ANULAR|max|scale0.25,-0.01906149459755247,0.0004997678484256628,P-ANULAR,max,0.25
94,P-ANULAR|mean|scale1.0,-0.05594218870381098,0.0029875101837364437,P-ANULAR,mean,1.0
95,P-ANULAR|max|scale1.0,-0.17154513515068123,0.013580896091474852,P-ANULAR,max,1.0
